,long,score,lat,n
0,-1.95801868,0.5586386322975159,51.70438426,10
1,-87.632496,0.7463487386703491,41.883222,10
2,-118.1938,0.2600008547306061,33.7692,10
3,-80.1418,0.10816586017608643,26.1358,10
4,144.96469,0.06981436908245087,-37.8121099,10
5,3.56497664,0.30223122239112854,6.46869909,10
6,77.30498398,0.23374836146831512,28.50676735,10
7,27.8635755,0.343941867351532,-32.9911514,10
8,77.0110092,0.2954031229019165,20.7124805,10
9,-88.096389,0.2740108370780945,41.529167,10
10,18.47366533,0.7094645500183105,-34.06068333,10
11,-118.3339186,0.8033867478370667,34.08347674,10
12,1.6762,0.37979617714881897,52.32817,10
13,36.81268742,0.46755582094192505,-1.3114538,10
14,3.357249,0.021415170282125473,6.504751,10
15,145.05118108,0.11785653978586197,-38.22657429,10
16,-73.56725453,0.1603032797574997,45.75975883,10
17,-73.56725453,0.47496506571769714,45.75975883,10
18,8.64929893,0.5816339254379272,44.74346078,10
19,139.620684,0.6300186514854431,35.705193,10
20,123.7597136,0.6489819288253784,10.20725944,10
21,151.70629978,0.10741923749446869,-32.88920957,10
22,-100.3189,0.3029918968677521,25.6714,10
23,-0.11404,0.6363839507102966,51.46221,10
24,7.2768105,0.5183988809585571,9.1034145,10
25,88.3699,0.49603819847106934,22.5697,10
26,-73.56725453,0.19614282250404358,45.75975883,10
27,-117.86996,0.04195740446448326,33.59552,10
28,103.8022186,0.8997306227684021,1.2813938,10
29,-122.419,0.4951741099357605,37.7793,10
30,74.23716676,0.7921438217163086,31.35283212,10
31,-6.60953,0.532880425453186,54.75552,10
32,77.30809,0.4156666100025177,23.268888,10
33,135.76647528,0.2022053748369217,35.00542084,10
34,-95.34642,0.637484073638916,29.7007,10
35,35.112,0.591937780380249,31.7691,10
36,28.1049,0.2097865343093872,-25.9956,10
37,72.8764,0.742420494556427,19.0627,10
38,100.67705078,0.24126076698303223,13.76598429,10
39,144.9630576,0.271573007106781,-37.8136276,10
40,-0.1094,0.149720698595047,51.5141,10
41,18.40874081,0.8796062469482422,-33.90751277,10
42,-73.8309,0.5210036039352417,40.7,10
43,100.49353003,0.9158833026885986,5.14794197,10
44,36.0591044,0.7857861518859863,-0.2876357,10
45,77.219672,0.3067529797554016,28.631747,10
46,101.5203,0.6382739543914795,3.0662,10
47,-73.8309,0.7121720314025879,40.7,10
48,-82.45222222,0.1478220671415329,28.00527778,10
49,151.70629978,0.10741923749446869,-32.88920957,10
50,-73.56726563,0.4703481197357178,45.63697547,10
51,-3.68333,0.9083994030952454,40.4,10
52,-73.56725453,0.17207665741443634,45.75975883,10
53,-0.77620106,0.5504980087280273,53.39368289,10
54,145.2590815,0.24972118437290192,-37.9966985,10
55,-6.5,0.10201150178909302,53.83333333,10
56,-1.26079,0.47594302892684937,52.37036,10
57,139.702227,0.5576177835464478,35.748162,10
58,-111.074249,0.9698987603187561,45.6706102,10
59,-2.32993,0.6071706414222717,52.11144,10
60,-121.5705372,0.4296104609966278,37.00748787,10
61,153.03283453,0.7100354433059692,-27.54767912,10
62,-118.3885,0.36154183745384216,33.8492,10
63,-118.2445,0.0347953736782074,34.0564,10
64,88.3699,0.4618946313858032,22.5697,10
65,47.9783,0.3008814752101898,29.3697,10
66,-93.23706404,0.9313839077949524,44.94941659,10
67,-0.13355317,0.6750420928001404,51.49594393,10
68,73.06521592,0.8436458110809326,33.69386247,10
69,138.57303458,0.424082487821579,36.44614881,10
70,21.008333,0.3893187642097473,52.232222,10
71,-73.56725453,0.1936854124069214,45.75975883,10
72,116.54,0.44360530376434326,40.1008,10
73,75.8655,0.33280056715011597,22.7253,10
74,-115.38,0.5132596492767334,32.8119,10
75,121.0992002,0.9816402792930603,14.6329111,10
76,75.8655,0.8801639676094055,22.7253,10
77,-0.09428155,0.936391294002533,51.48399866,10
78,77,0.27982407808303833,21,10
79,144.9661,0.5118448734283447,-37.8156,10
80,-123.11549122,0.22879762947559357,49.27083915,10
81,10.1797,0.30853545665740967,36.8028,10
82,91.77,0.8390369415283203,26.14,10
83,88.3474,0.8198749423027039,22.50116,10
84,-73.56726563,0.7386007308959961,45.63697547,10
85,151.20797,0.8884328603744507,-33.86751,10
86,153.028,0.12418574839830399,-27.4678,10
