,long,score,lat,n
0,4.36688716,0.25,51.18405691,10
1,85.84,0.15666666666666668,20.27,10
2,-115.14001,0.0,36.165776,10
3,7.4442,0.09659090909090907,9.03331,10
4,153.0284,0.10000000000000002,-27.4699,10
5,-122.675,0.06814814814814814,45.5236111,10
6,-88.42756824,0.0,33.49488556,10
7,1.01916667,0.5,33.68305556,10
8,-0.1313,0.0,50.8429,10
9,-0.18383567,0.07314814814814814,5.56989422,10
10,-74.0064,0.15,40.7142,10
11,-117.8930871,0.5,33.8971288,10
12,-117.212101,0.3129629629629629,32.86367,10
13,110.42555689,0.16666666666666666,-7.19130271,10
14,-73.8309,-0.1,40.7,10
15,-104.9432,0.26607142857142857,39.9126,10
16,-0.1094,0.0,51.5141,10
17,-77.31324739,0.2416666666666667,38.97208859,10
18,-73.96982,0.0,40.75941,10
19,2.76427566,0.0,41.71008756,10
20,-4.629734,0.2,54.08989,10
21,73.15953154,-0.4,33.53106736,10
22,125.01021,0.25,8.91194,10
23,103.856,0.0,1.29306,10
24,77,0.0715909090909091,21,10
25,28.02514461,0.0,-26.23170631,10
26,-124.92725,0.0,49.67449,10
27,9.91667,0.0,53.55,10
28,101.615708,0.0,3.034856,10
29,72.8764,0.21818181818181812,19.0627,10
30,77.23174095,0.0,28.57114287,10
31,-114.057,-0.2333333333333333,51.045,10
32,121.03073359,0.011868686868686862,14.44648312,10
33,-121.93159598,0.4042207792207793,37.24777779,10
34,54.3661706,0.2198006766183036,24.49578254,10
35,120.37317,0.2857142857142857,16.84846,10
36,106.80680822,0.20000000000000004,-6.22772364,10
37,55.13038914,0.5125,25.07364405,10
38,-0.07939436,0.06571428571428573,51.47496745,10
39,-117.8930871,0.4375,33.8971288,10
40,-73.56726563,0.21904761904761907,45.63697547,10
41,142.98188,0.35,-36.3701,10
42,-80.19559,0.0,25.8098,10
43,-7.91885142,0.0619047619047619,31.13570968,10
44,-112.18387,0.2755681818181818,33.53828,10
45,103.74632844,0.0,1.38081439,10
46,27.8635755,0.4,-32.9911514,10
47,145.21363,0.2,-37.98495,10
48,76.15111111,0.475,12.06,10
49,5.56667,0.075,50.6333,10
50,103.79281657,0.0,1.44246134,10
51,-118.36366846,0.4318181818181818,33.97364878,10
52,84.9151306,0.0,26.6516991,10
53,-84.3889,0.0,33.7566,10
54,3.39583,0.1,6.45306,10
55,0.11028439,0.0,51.75854026,10
56,80.3269,0.0,26.4421,10
57,-122.42392015,-0.25,37.7711792,10
58,55.3651811,-0.04,25.3056093,10
59,139.77,0.4443181818181817,35.68,10
60,6.9667,0.008333333333333337,50.95,10
61,32.5811,0.3214285714285714,0.3136,10
62,2.76427566,0.0,41.71008756,10
63,-74.5,0.0,40,10
64,106.86647154,0.0,-6.19112491,10
65,72.8104,0.0,19.1375,10
66,8.8085,-0.6,53.0763,10
67,-81.4129,0.3666666666666667,28.304,10
68,120.95875851,0.0,14.65437961,10
69,-88.1557,-1.0,41.7498,10
70,8.4667,0.3895833333333333,49,10
71,-119.78743,-0.01666666666666668,36.73122,10
72,100.5142411,0.0,13.7239926,10
73,78.4815935,0.0909090909090909,17.4110375,10
74,-0.13608912,0.5121212121212121,51.50413561,10
75,80.27,-0.0851851851851852,13.09,10
76,25.5083,0.2,65.0211,10
77,-99.1332,-0.6,19.4326,10
78,-0.77615003,-0.125,53.39361379,10
79,72.8764,0.25,19.0627,10
80,103.856,0.15625,1.29306,10
81,73.8567,0.75,18.5203,10
82,-84.3889,0.0,33.7566,10
83,-0.77607354,-0.125,53.39366409,10
84,-1.404722,0.0,50.906944,10
85,106.8233,0.0,-6.1803,10
86,-84.3889,0.0,33.7566,10
87,29.63333333,0.0,-1.36666667,10
88,-0.1094,0.3583333333333333,51.5141,10
89,72.95052887,0.6,19.17019215,10
90,152.85,0.175,-27.3,10
91,12.3889,0.14,43.1122,10
92,77.34238826,0.3333333333333333,30.11229432,10
93,84.9151306,0.3499999999999999,26.6516991,10
94,-117.89936621,-0.13333333333333333,33.74051596,10
95,-80.42786986,0.22000000000000008,25.63555055,10
96,82.97826,0.0,25.33792,10
97,9.91667,-0.2625,53.55,10
98,12.68973933,0.35,56.05353918,10
99,11.27822343,0.0,52.02700748,10
100,-0.0827,0.0,51.79634,10
101,-0.12721,0.2,51.50643,10
102,-2.6666268,0.0,53.46568771,10
103,6.96434382,0.0,50.90897615,10
104,141.06315774,0.38928571428571423,38.36985519,10
105,77.31974,0.09375,28.58052,10
106,145.0422836,-0.05,-37.8895005,10
107,73.90899356,0.0,18.46081705,10
108,31.045,0.08333333333333333,-29.7771,10
109,139.683,-0.125,35.7667,10
110,-0.1094,0.0,51.5141,10
111,7.0642,0.13636363636363635,4.8164,10
112,76.7807,0.13333333333333333,30.7229,10
113,72.82,-0.125,18.96,10
114,48.0286,0.7,29.3328,10
115,-0.59272528,0.2647486772486773,51.4099008,10
116,2.17705982,0.0,41.38273789,10
117,138.59653784,0.6,-34.91596987,10
118,21.008333,-0.03787878787878788,52.232222,10
119,-2.2463,0.0,53.4793,10
120,106.8056978,0.7,-6.22712935,10
121,9.91667,0.2,53.55,10
122,-74.00589108,0.0,40.71270142,10
123,55.13887882,0.3,25.11474595,10
124,4.85385,0.25,52.34733,10
125,-4.259,0.0,55.858,10
126,72.68319154,0.4,30.53118006,10
127,2.19037,0.0,41.39716,10
128,76.7807,0.2,30.7229,10
129,7.42142986,0.125,43.73113661,10
130,77.2089,0.43333333333333335,28.6139,10
131,48.1170555,0.0,29.1572572,10
132,78.46955838,0.03333333333333333,17.39252951,10
133,105.85,0.040097402597402604,21.0333,10
134,-74.0307301,0.4,40.74098215,10
135,9.91667,0.2,53.55,10
136,-0.13608912,0.3541666666666667,51.50413561,10
137,-0.08352399,0.0,51.51274549,10
138,145.0422836,-0.05,-37.8895005,10
139,-3.68333,0.0,40.4,10
140,121.0601279,0.0,14.57252195,10
141,9.91667,-0.125,53.55,10
142,9.91667,-0.2625,53.55,10
143,16.41560835,0.2,48.1739745,10
144,9.91667,0.0,53.55,10
145,54.45374,0.03125,24.413445,10
146,-2.88253944,-0.005384615384615388,53.39530626,10
147,115.25443172,0.625,-8.4918248,10
148,11.55578089,0.3,58.02974798,10
149,16.41560835,0.2,48.1739745,10
150,-3.4247,0.2078571428571428,51.1731,10
151,77.68125448,0.2354166666666667,29.02857134,10
152,9.91667,0.30000000000000004,53.55,10
153,77.32226,0.5,28.58213,10
154,115.28441674,0.07083333333333335,-8.1807497,10
155,47.95233824,0.0,29.32858005,10
156,31.14111776,0.11500000000000002,-26.32689479,10
157,9.91667,0.2,53.55,10
158,77.0187798,0.4375,28.4466001,10
159,-5.83307795,0.0,54.63973314,10
160,115.859,0.14583333333333334,-31.9522,10
161,7.42562056,0.125,43.73068527,10
162,55.2741,0.0,25.1994,10
163,115.21857977,0.06250000000000001,-8.82642728,10
164,36.8586266,0.07666666666666666,-1.37333116,10
165,-0.06305669,0.0,51.49759674,10
166,16.37212206,0.3,48.20217159,10
167,-2.58333,0.0,51.45,10
168,9.91667,0.2,53.55,10
169,114.9439168,-0.075,4.8895983,10
170,5.14464137,-0.11333333333333333,52.08868408,10
171,-0.18016398,0.5,51.48217862,10
172,16.41560835,0.2,48.1739745,10
173,29.10761,0.0,-26.47156,10
174,12.62067369,0.6375,56.78879756,10
175,9.91667,0.0,53.55,10
176,-7.93333,0.6,37.0167,10
177,-1.8321403,-3.469446951953613e-18,54.8532999,10
178,144.947277,-0.03333333333333333,-36.08102728,10
179,-3.68333,0.0,40.4,10
180,6.792441,0.0,6.113421,10
181,77.219672,0.3409090909090909,28.631747,10
182,-4.23561,0.4666666666666666,57.47902,10
183,-3.16304,0.0,56.1096,10
184,7.4833,0.4900000000000001,9.0667,10
185,-1.97359085,0.025000000000000026,43.30128993,10
186,7.42142986,0.125,43.73113661,10
187,123.583,0.18766233766233767,-10.1667,10
188,77.0631038,0.0,28.5585636,10
189,-63.56956,0.1,44.64328,10
190,-113.62652,0.7000000000000001,53.55361,10
191,77,0.5,21,10
192,35.34885406,0.175,31.69662426,10
193,-2.934,0.0,53.429,10
194,2.1683,0.0,41.3894,10
195,7.46181273,0.125,9.08097018,10
196,-1.5443356,0.0,53.7763925,10
197,85.310244,0.1727272727272727,27.713776,10
198,-80.21616276,0.30277777777777776,44.49840009,10
199,151.20797,0.1,-33.86751,10
200,-7.8,0.2708333333333333,53.7333,10
201,-74.0425728,0.1,40.2784256,10
