,coordinates,score
0,"4.36688716,51.18405691",0.25
1,"85.84,20.27",0.15666666666666668
2,"-115.14001,36.165776",0.0
3,"7.4442,9.03331",0.09659090909090907
4,"153.0284,-27.4699",0.10000000000000002
5,"-122.675,45.5236111",0.06814814814814814
6,"-88.42756824,33.49488556",0.0
7,"1.01916667,33.68305556",0.5
8,"-0.1313,50.8429",0.0
9,"-0.18383567,5.56989422",0.07314814814814814
10,"-74.0064,40.7142",0.15
11,"-117.8930871,33.8971288",0.5
12,"-117.212101,32.86367",0.3129629629629629
13,"110.42555689,-7.19130271",0.16666666666666666
14,"-73.8309,40.7",-0.1
15,"-104.9432,39.9126",0.26607142857142857
16,"-0.1094,51.5141",0.0
17,"-77.31324739,38.97208859",0.2416666666666667
18,"-73.96982,40.75941",0.0
19,"2.76427566,41.71008756",0.0
20,"-4.629734,54.08989",0.2
21,"73.15953154,33.53106736",-0.4
22,"125.01021,8.91194",0.25
23,"103.856,1.29306",0.0
24,"77,21",0.0715909090909091
25,"28.02514461,-26.23170631",0.0
26,"-124.92725,49.67449",0.0
27,"9.91667,53.55",0.0
28,"101.615708,3.034856",0.0
29,"72.8764,19.0627",0.21818181818181812
30,"77.23174095,28.57114287",0.0
31,"-114.057,51.045",-0.2333333333333333
32,"121.03073359,14.44648312",0.011868686868686862
33,"-121.93159598,37.24777779",0.4042207792207793
34,"54.3661706,24.49578254",0.2198006766183036
35,"120.37317,16.84846",0.2857142857142857
36,"106.80680822,-6.22772364",0.20000000000000004
37,"55.13038914,25.07364405",0.5125
38,"-0.07939436,51.47496745",0.06571428571428573
39,"-117.8930871,33.8971288",0.4375
40,"-73.56726563,45.63697547",0.21904761904761907
41,"142.98188,-36.3701",0.35
42,"-80.19559,25.8098",0.0
43,"-7.91885142,31.13570968",0.0619047619047619
44,"-112.18387,33.53828",0.2755681818181818
45,"103.74632844,1.38081439",0.0
46,"27.8635755,-32.9911514",0.4
47,"145.21363,-37.98495",0.2
48,"76.15111111,12.06",0.475
49,"5.56667,50.6333",0.075
50,"103.79281657,1.44246134",0.0
51,"-118.36366846,33.97364878",0.4318181818181818
52,"84.9151306,26.6516991",0.0
53,"-84.3889,33.7566",0.0
54,"3.39583,6.45306",0.1
55,"0.11028439,51.75854026",0.0
56,"80.3269,26.4421",0.0
57,"-122.42392015,37.7711792",-0.25
58,"55.3651811,25.3056093",-0.04
59,"139.77,35.68",0.4443181818181817
60,"6.9667,50.95",0.008333333333333337
61,"32.5811,0.3136",0.3214285714285714
62,"2.76427566,41.71008756",0.0
63,"-74.5,40",0.0
64,"106.86647154,-6.19112491",0.0
65,"72.8104,19.1375",0.0
66,"8.8085,53.0763",-0.6
67,"-81.4129,28.304",0.3666666666666667
68,"120.95875851,14.65437961",0.0
69,"-88.1557,41.7498",-1.0
70,"8.4667,49",0.3895833333333333
71,"-119.78743,36.73122",-0.01666666666666668
72,"100.5142411,13.7239926",0.0
73,"78.4815935,17.4110375",0.0909090909090909
74,"-0.13608912,51.50413561",0.5121212121212121
75,"80.27,13.09",-0.0851851851851852
76,"25.5083,65.0211",0.2
77,"-99.1332,19.4326",-0.6
78,"-0.77615003,53.39361379",-0.125
79,"72.8764,19.0627",0.25
80,"103.856,1.29306",0.15625
81,"73.8567,18.5203",0.75
82,"-84.3889,33.7566",0.0
83,"-0.77607354,53.39366409",-0.125
84,"-1.404722,50.906944",0.0
85,"106.8233,-6.1803",0.0
86,"-84.3889,33.7566",0.0
87,"29.63333333,-1.36666667",0.0
88,"-0.1094,51.5141",0.3583333333333333
89,"72.95052887,19.17019215",0.6
90,"152.85,-27.3",0.175
91,"12.3889,43.1122",0.14
92,"77.34238826,30.11229432",0.3333333333333333
93,"84.9151306,26.6516991",0.3499999999999999
94,"-117.89936621,33.74051596",-0.13333333333333333
95,"-80.42786986,25.63555055",0.22000000000000008
96,"82.97826,25.33792",0.0
97,"9.91667,53.55",-0.2625
98,"12.68973933,56.05353918",0.35
99,"11.27822343,52.02700748",0.0
100,"-0.0827,51.79634",0.0
101,"-0.12721,51.50643",0.2
102,"-2.6666268,53.46568771",0.0
103,"6.96434382,50.90897615",0.0
104,"141.06315774,38.36985519",0.38928571428571423
105,"77.31974,28.58052",0.09375
106,"145.0422836,-37.8895005",-0.05
107,"73.90899356,18.46081705",0.0
108,"31.045,-29.7771",0.08333333333333333
109,"139.683,35.7667",-0.125
110,"-0.1094,51.5141",0.0
111,"7.0642,4.8164",0.13636363636363635
112,"76.7807,30.7229",0.13333333333333333
113,"72.82,18.96",-0.125
114,"48.0286,29.3328",0.7
115,"-0.59272528,51.4099008",0.2647486772486773
116,"2.17705982,41.38273789",0.0
117,"138.59653784,-34.91596987",0.6
118,"21.008333,52.232222",-0.03787878787878788
119,"-2.2463,53.4793",0.0
120,"106.8056978,-6.22712935",0.7
121,"9.91667,53.55",0.2
122,"-74.00589108,40.71270142",0.0
123,"55.13887882,25.11474595",0.3
124,"4.85385,52.34733",0.25
125,"-4.259,55.858",0.0
126,"72.68319154,30.53118006",0.4
127,"2.19037,41.39716",0.0
128,"76.7807,30.7229",0.2
129,"7.42142986,43.73113661",0.125
130,"77.2089,28.6139",0.43333333333333335
131,"48.1170555,29.1572572",0.0
132,"78.46955838,17.39252951",0.03333333333333333
133,"105.85,21.0333",0.040097402597402604
134,"-74.0307301,40.74098215",0.4
135,"9.91667,53.55",0.2
136,"-0.13608912,51.50413561",0.3541666666666667
137,"-0.08352399,51.51274549",0.0
138,"145.0422836,-37.8895005",-0.05
139,"-3.68333,40.4",0.0
140,"121.0601279,14.57252195",0.0
141,"9.91667,53.55",-0.125
142,"9.91667,53.55",-0.2625
143,"16.41560835,48.1739745",0.2
144,"9.91667,53.55",0.0
145,"54.45374,24.413445",0.03125
146,"-2.88253944,53.39530626",-0.005384615384615388
147,"115.25443172,-8.4918248",0.625
148,"11.55578089,58.02974798",0.3
149,"16.41560835,48.1739745",0.2
150,"-3.4247,51.1731",0.2078571428571428
151,"77.68125448,29.02857134",0.2354166666666667
152,"9.91667,53.55",0.30000000000000004
153,"77.32226,28.58213",0.5
154,"115.28441674,-8.1807497",0.07083333333333335
155,"47.95233824,29.32858005",0.0
156,"31.14111776,-26.32689479",0.11500000000000002
157,"9.91667,53.55",0.2
158,"77.0187798,28.4466001",0.4375
159,"-5.83307795,54.63973314",0.0
160,"115.859,-31.9522",0.14583333333333334
161,"7.42562056,43.73068527",0.125
162,"55.2741,25.1994",0.0
163,"115.21857977,-8.82642728",0.06250000000000001
164,"36.8586266,-1.37333116",0.07666666666666666
165,"-0.06305669,51.49759674",0.0
166,"16.37212206,48.20217159",0.3
167,"-2.58333,51.45",0.0
168,"9.91667,53.55",0.2
169,"114.9439168,4.8895983",-0.075
170,"5.14464137,52.08868408",-0.11333333333333333
171,"-0.18016398,51.48217862",0.5
172,"16.41560835,48.1739745",0.2
173,"29.10761,-26.47156",0.0
174,"12.62067369,56.78879756",0.6375
175,"9.91667,53.55",0.0
176,"-7.93333,37.0167",0.6
177,"-1.8321403,54.8532999",-3.469446951953613e-18
178,"144.947277,-36.08102728",-0.03333333333333333
179,"-3.68333,40.4",0.0
180,"6.792441,6.113421",0.0
181,"77.219672,28.631747",0.3409090909090909
182,"-4.23561,57.47902",0.4666666666666666
183,"-3.16304,56.1096",0.0
184,"7.4833,9.0667",0.4900000000000001
185,"-1.97359085,43.30128993",0.025000000000000026
186,"7.42142986,43.73113661",0.125
187,"123.583,-10.1667",0.18766233766233767
188,"77.0631038,28.5585636",0.0
189,"-63.56956,44.64328",0.1
190,"-113.62652,53.55361",0.7000000000000001
191,"77,21",0.5
192,"35.34885406,31.69662426",0.175
193,"-2.934,53.429",0.0
194,"2.1683,41.3894",0.0
195,"7.46181273,9.08097018",0.125
196,"-1.5443356,53.7763925",0.0
197,"85.310244,27.713776",0.1727272727272727
198,"-80.21616276,44.49840009",0.30277777777777776
199,"151.20797,-33.86751",0.1
200,"-7.8,53.7333",0.2708333333333333
201,"-74.0425728,40.2784256",0.1
202,"106.83714499,-6.27912303",0.0
203,"-81.32806152,48.47593351",0.0
204,"69.67096925,23.24941726",0.45
205,"-74.01533612,40.70966667",0.17500000000000002
206,"-73.83295736,40.6733167",0.13636363636363635
207,"-81.36795463,31.20199233",0.2714285714285714
208,"0.6233,41.6117",0.0
209,"-4.24308068,57.48716661",0.06666666666666665
210,"78.48059893,17.39674621",0.0
211,"17.65581193,59.85940762",0.032407407407407406
212,"0.9008,51.8874",0.325
213,"74.3436,31.5497",0.2
214,"-0.1094,51.5141",0.10227272727272728
215,"-70.56909076,41.75918754",0.19375
216,"2.13638292,48.80941439",0.0
217,"1.25,41.1167",0.0
218,"-0.1094,51.5141",0.2272727272727273
219,"-73.82295734,40.68867601",0.13636363636363635
220,"100.86435905,12.9008509",0.0
221,"-2.93615216,53.36790035",0.0
222,"-3.68333,40.4",0.0
223,"28.04488076,-26.20108253",0.0
224,"-8.47,51.8972",0.125
225,"151.20194,-33.88542",0.0
226,"17.1075,48.1477",0.041666666666666664
227,"47.6,29.166667",0.0
228,"28.0086308,-26.03467666",0.0
229,"-75.11676084,39.9415311",-0.026666666666666658
230,"73.7125,24.5854",-0.006818181818181821
231,"55.2741,25.1994",0.5
232,"-73.56726563,45.63697547",-0.1
233,"-1.3261099,51.40593",0.0
234,"-73.1506,40.8461",0.515625
235,"-1.2415,54.5713",0.03375
236,"120.9877624,14.5655523",0.16666666666666666
237,"3.25954901,6.66552532",0.3621212121212121
238,"-79.3872,43.648",0.32222222222222224
239,"-77.10022,18.41141",0.27714285714285714
240,"106.8233,-6.1803",0.0
241,"-2.50932455,53.2626332",0.16944444444444445
242,"-77.02191,38.89981",0.5428571428571429
243,"-74.0064,40.7142",0.06818181818181818
244,"-0.15785387,51.54192439",0.0
245,"51.5293,25.2834",0.13636363636363635
246,"-97.06018456,32.69436047",-0.03214285714285715
247,"-3.99217,55.78903",0.18571428571428567
248,"73.15953154,33.53106736",0.4
249,"-0.07916808,51.52692855",0.16
250,"73.2,22.3",-0.16666666666666666
251,"4.4141,51.2157",0.0
252,"-73.8531,40.7493",0.5
253,"-85.70347951,38.24521544",0.16645951704545453
254,"51.5293,25.2834",0.0
255,"3.53114158,6.44238183",0.625
