,coordinates,score
0,"-118.26356,34.00454",1.0
1,"-73.95,40.65",0.0
2,"149.124,-35.3081",0.0
3,"-6.28034668,53.36853317",0.06
4,"-80.76669547,32.15185288",0.13333333333333333
5,"76.7807,30.7229",0.06363636363636363
6,"89.6365,27.42030322",0.6
7,"-7.6334,54.34422",0.4166666666666667
8,"86.5156804,21.0515505",0.0
9,"46.63285656,24.68173114",0.05625
10,"-58.51909261,-34.85204083",0.0
11,"76.13070022,34.5542402",0.05000000000000001
12,"46.63721877,24.85091941",0.13636363636363635
13,"77.219672,28.631747",0.06818181818181818
14,"-0.1277583,51.5073509",0.2272727272727273
15,"-3.1669915,51.489454",0.4681818181818182
16,"-0.77622956,53.39357314",-0.125
17,"11.51666667,48.15694444",0.0
18,"74.7726405,34.0783978",0.05151515151515152
19,"-0.1094,51.5141",0.07430555555555557
20,"-1.00840895,51.64658793",-0.006597222222222226
21,"27.8635755,-32.9911514",0.4
22,"120.9808,14.5896",0.5
23,"-113.5016,53.5415",0.01704545454545454
24,"39.23968,-6.832128",0.4
25,"144.833,-37.8667",0.4895833333333333
26,"55.49101615,25.30993473",0.0
27,"-89.20601,43.80339",0.0
28,"-117.86996,33.59552",0.5
29,"-84.44487635,33.60618222",0.4270833333333333
30,"77.220045,28.642603",0.0
31,"-1.49328634,51.99618921",0.0
32,"48.02849296,29.28216333",0.0
33,"32.5815192,0.3131987",0.0
34,"32.5597,0.315",0.0
35,"77.19598755,28.57696025",-0.025
36,"86.15,23.67",1.0
37,"151.2210432,-33.91488",-0.125
38,"-118.40247127,34.06896166",-0.125
39,"-117.23738743,32.73816547",-0.0240740740740741
40,"-4.309626,55.852472",0.5
41,"-73.8433,40.8398",0.0
42,"77.101615,28.437198",0.0
43,"-118.0076,33.6638",-0.004761904761904763
44,"-73.56725453,45.75975883",0.35
45,"-80.3088,25.6667",0.0
46,"77.2353594,28.6557979",0.0
47,"51.57418927,25.17467492",0.1375
48,"18.42341,-34.13815",0.30000000000000004
49,"-158.0176243,21.3350946",0.2162878787878788
50,"-3.68333,40.4",-0.025
51,"100.67705078,13.76598429",0.25
52,"-0.07694,51.28158",0.0
53,"144.9570629,-37.8184198",0.0
54,"-118.248217,34.036681",0.4500000000000001
55,"-82.72900993,27.95111102",0.390625
56,"-115.1728642,36.11468696",0.0
57,"-6.28034668,53.36853317",0.25
58,"-0.39664955,54.28107293",0.05
59,"106.8233,-6.1803",0.4
60,"84.9151306,26.6516991",0.255
61,"121.07244947,14.70601536",0.0
62,"73.2,22.3",0.2272727272727273
63,"-122.426,37.656",0.4164595170454545
64,"-118.2445,34.0564",-0.078125
