,coordinates,score
0,"106.8233,-6.1803",0.0
1,"-3.66283066,40.427416",0.0
2,"124.6264284,8.4938129",0.3125
3,"149.08073073,-35.25808344",0.0
4,"106.8233,-6.1803",0.2575757575757576
5,"-74.0064,40.7142",0.13636363636363635
6,"-4.309626,55.852472",0.6
7,"-86.0113,40.0456",0.225
8,"-71.38172809,42.56854103",0.28
9,"31.0981,29.0707",-0.5
10,"28.06045532,-26.21659308",0.0
11,"-0.77615991,53.39364019",-0.125
12,"-122.46654,37.76271",0.35000000000000003
13,"21.008333,52.232222",0.13636363636363635
14,"-87.0715,20.636",0.0
15,"121.02579495,14.42628217",0.0
16,"-0.1094,51.5141",-0.051851851851851864
17,"28.06045532,-26.21659308",-0.023015873015873014
18,"-79.6179,37.0585",0.0
19,"-122.53706,47.22396",0.20454545454545453
20,"84.9151306,26.6516991",0.03492063492063492
21,"-122.44631072,37.77420779",-0.0833333333333333
22,"80.2751,13.0812",0.275
23,"77.53499799,13.16876069",0.4333333333333333
24,"-78.8494,42.9047",0.06818181818181818
25,"-117.566,33.8753",0.0
26,"-84.30329,33.77602",-0.1125
27,"75.78625,26.16117",0.6
28,"-86.78017022,36.1528911",0.16666666666666666
29,"-114.057,51.045",0.45
30,"-1.93048239,53.60276332",-0.3
31,"-97.73549055,30.26585335",0.1
32,"-73.56725453,45.75975883",-0.13888888888888887
33,"55.27864708,25.1908321",0.2
34,"103.856,1.29306",0.0
35,"-96.8236771,32.9616407",0.1506060606060606
36,"28.06045532,-26.21659308",0.5
37,"3.36713205,6.67233071",0.21875
38,"-0.50717134,51.50802876",0.0
39,"77.597645,12.971117",0.07142857142857142
40,"28.06045532,-26.21659308",0.7
41,"27.8635755,-32.9911514",0.3554450757575758
42,"-6.28034668,53.36853317",0.2
43,"21.008333,52.232222",0.0
44,"21.008333,52.232222",0.0
45,"21.008333,52.232222",0.0
46,"-121.922194,36.553358",0.4900000000000001
47,"-119.15,34.36",0.06818181818181818
48,"3.35806,6.50917",-0.16666666666666666
49,"76.9317,8.5035",0.0
50,"-95.50107944,30.88122984",-0.25
51,"77.5711719,12.9916302",0.0
52,"5.08273079,51.56196435",0.06818181818181818
53,"28.063,-26.13",-0.5
54,"144.994,-37.7999",-0.17916666666666667
55,"11.25405836,43.77155989",0.0
56,"-96.91081422,19.53511204",0.0
57,"-82.28637,34.83012",0.0
58,"72.84985834,19.21470421",-0.3333333333333333
59,"151.20797,-33.86751",0.6
60,"-73.56726563,45.63697547",0.0
61,"-95.34642,29.7007",-0.0625
62,"13.401251,52.518391",-0.08333333333333333
63,"-117.89941859,33.74041089",-0.13888888888888887
64,"-0.1094,51.5141",0.4
65,"21.008333,52.232222",0.5
66,"-73.56725453,45.75975883",0.025
67,"-111.656944,34.286667",0.5
68,"121.037,14.6439",0.1431818181818182
69,"123.892006,10.311102",0.2
70,"-74.00589108,40.71270142",-0.18181818181818185
71,"51.44812963,25.35759909",0.0
72,"28.06045532,-26.21659308",0.3333333333333333
73,"-86.25640869,33.52233643",0.15340909090909088
74,"-121.5705372,37.00748787",0.0
75,"-6.24327711,53.36001999",0.2
76,"77.05416667,28.6",0.5
77,"-157.799,21.4092",-0.390625
78,"-71.08179,42.33161",-0.16666666666666666
79,"76.7807,30.7229",0.022077922077922075
80,"77.00748,20.70927",0.10714285714285714
81,"-76.85,38.83",0.0
82,"-73.56725453,45.75975883",0.0
83,"28.06045532,-26.21659308",-0.4196428571428572
84,"-15.57763246,27.75132372",-0.625
85,"55.35676909,25.12200625",0.15656565656565655
86,"77.0110092,20.7124805",0.1875
87,"82.1422,22.1322",-0.3
88,"-87.62807695,41.89047737",0.0
89,"77.77597,28.73066",0.17575757575757578
90,"7.4833,9.0667",0.0
91,"-0.77615991,53.39364019",-0.125
92,"-58.51247393,-34.84345653",0.0
93,"9.08715,45.81072",0.0
94,"-3.18555556,55.95055556",0.4
95,"-121.89392,37.34977",0.25
96,"55.35676909,25.12200625",0.15656565656565655
97,"-0.1094,51.5141",0.2071428571428572
98,"147.733,-8.88333",-0.01666666666666668
99,"78.47424,17.40032",0.03409090909090909
100,"74.797,34.0839",-0.2
101,"-5.97117885,54.59211873",0.11666666666666665
102,"-4.629734,54.08989",0.2
103,"-73.56725453,45.75975883",0.16666666666666666
104,"150.31199096,-33.73157452",-0.007161458333333333
105,"-118.378,34.1722",-0.6
106,"77.04783172,28.59672186",0.0
107,"28.1049,-25.9956",0.1
108,"-2.618984,51.677564",0.08333333333333333
109,"-79.3872,43.648",0.5
110,"7.0642,4.8164",0.06818181818181818
111,"121.03634781,14.63927286",0.65
112,"-1.9679,51.01061",0.4
113,"-0.14367274,51.55141874",0.10833333333333334
114,"12.49158049,41.89114343",-0.031018518518518525
115,"144.95937,-37.73214",-0.1376488095238095
116,"77,21",0.26666666666666666
117,"72.97936571,33.70262714",0.4
118,"28.12612343,-25.74589157",0.5
119,"80.10546,22.42904",0.0625
120,"88.3699,22.5697",0.13636363636363635
121,"110.19135284,-7.75022125",0.1431818181818182
122,"123.01666944,11.33333056",0.625
123,"-3.17015648,51.45483592",0.12348484848484845
124,"-74.5,40",0.0
125,"81.3,29.05",0.0
126,"88.3699,22.5697",0.13636363636363635
127,"6.94275883,43.52323886",0.08785714285714286
128,"72.90206344,19.09025443",0.06818181818181818
129,"153.03196,-27.40058",0.0
130,"150.87154574,-34.52903657",0.1340909090909091
131,"153.1535442,-27.07071912",0.0
132,"81,7",0.3583333333333333
133,"-2.24,57.11",0.13636363636363635
134,"8,9",-0.15
135,"5.17509668,52.10736014",0.35
136,"0.88291,51.30974",-0.225
137,"-0.555,51.607",0.25
138,"3.9167,7.3964",-0.025
139,"115.26900842,-8.51769721",-0.125
140,"-66.09821967,45.29564163",0.246875
141,"-2.2463,53.4793",0.0
142,"-73.47935661,45.6677507",0.2033333333333333
143,"77.2089,28.6139",0.19318181818181812
144,"-4.259,55.858",0.17666666666666667
145,"1.2977,52.6292",0.0
146,"18.0698028,59.3302876",0.375
147,"-0.13355317,51.49594393",0.5
