,coordinates,score
0,"-123.12721877,49.28248253",0.0
1,"-4.629734,54.08989",0.2
2,"-93.21759,44.74362",0.04642857142857144
3,"151.44563433,-33.44783988",0.09375
4,"-118.1229,34.0633",0.10000000000000002
5,"-122.438569,37.764425",0.35
6,"-87.3745,36.0715",0.4222222222222222
7,"5.14443315,52.08859253",-0.008333333333333333
8,"-2.00647219,52.71043698",-0.125
9,"39.6142,24.4686",-0.09999999999999992
10,"-104.8223,39.7071",0.12436868686868688
11,"101.6274941,3.18687438",0.5
12,"-73.56725453,45.75975883",-0.5
13,"77.219672,28.631747",0.0
14,"78.4818,17.4763",0.1
15,"-73.8669,40.85",0.16818181818181818
16,"75.95156824,11.13967619",0.125
17,"-117.54098715,33.86709675",0.25
18,"5.14444285,52.08859253",0.04999999999999996
19,"-73.97726,40.78169",0.5
20,"-0.1094,51.5141",0.26666666666666666
21,"172.66400832,-43.55655126",0.0
22,"-118.1938,33.7692",0.65
23,"-73.98959398,40.74109556",0.0
24,"-121.89538633,36.59631567",0.75
25,"-73.918069,40.695277",0.11111111111111112
26,"7.52252485,9.09166751",0.5
27,"76.576,9.386",0.4375
28,"-111.819,40.3842",0.4
29,"-1.4667,53.3833",0.18333333333333326
30,"0.9008,51.8874",0.8
31,"11.52819,44.5421",0.003787878787878785
32,"-7.91885142,31.13570968",-0.06666666666666668
33,"-3,40",0.0
34,"-3.71056207,40.41170386",0.4
35,"-2.10722716,57.12559149",0.0
36,"-0.77617219,53.39357076",-0.125
37,"-1.8581708,53.8218739",-0.03
38,"148.58377924,-32.25933441",-0.010000000000000007
39,"-0.15277778,50.82777778",0.0
40,"153.43139766,-28.02759062",0.0
41,"0.5498,51.3792",0.3
42,"-118.31665255,34.09631669",0.3
43,"103.9386631,1.3117405",0.0
44,"21.008333,52.232222",0.13636363636363635
45,"-4.309626,55.852472",-0.6
46,"-73.47935661,45.6677507",0.16666666666666666
47,"-79.35310661,43.66579404",0.0
48,"101.7,3.15972222",-0.15000000000000002
49,"-97.5195,35.4689",0.0
50,"153.11191,-27.24424",0.18148148148148147
51,"35.4993,33.8892",0.2
52,"-73.56725453,45.75975883",0.0
53,"25.32852121,37.44636873",0.375
54,"-73.56725453,45.75975883",0.16666666666666666
55,"-3.52298182,50.4822579",0.25
56,"-157.80262,21.28486",0.325
57,"-121.41351,38.42386",0.09166666666666667
58,"-96.7302371,43.5473579",0.625
59,"147.328429,-42.880195",0.1
60,"-121.4947,38.577",0.0
61,"145.11955619,-37.78841206",0.25
62,"-73.56725453,45.75975883",0.2575757575757576
63,"121.037,14.6439",0.0
64,"-121.98252,37.57524",0.0
65,"101.767,3.15",0.6
66,"153.04293046,-27.32005099",0.13968253968253969
67,"11.25,43.7833",0.0
68,"74.797,34.0839",-0.05
69,"23.6512,37.9493",0.8
70,"77.6142258,13.1290872",0.0
71,"-97.73549055,30.26585335",0.0
72,"-117.124,33.5033",0.3020833333333333
73,"72.85741,19.15734",0.21931818181818186
74,"-95.34642,29.7007",-0.0625
75,"-73.56725453,45.75975883",0.04545454545454545
76,"73.2,22.3",0.10833333333333332
77,"-85.77103615,30.20147156",0.08750000000000001
78,"55.13975859,25.11197728",0.0
79,"74.797,34.0839",0.10833333333333334
80,"77.219672,28.631747",0.5
81,"106.80743022,-6.25741874",0.0
82,"-73.56725453,45.75975883",0.25
83,"8.93843456,42.63425167",0.13636363636363635
84,"98.1957,14.097",0.26666666666666666
85,"-100.983,25.4333",0.0
86,"27.8635755,-32.9911514",0.3554450757575758
87,"121.06108,14.64052",1.0
