,long,score,lat,n
0,-123.12721877,0.0,49.28248253,10
1,-4.629734,0.2,54.08989,10
2,-93.21759,0.04642857142857144,44.74362,10
3,151.44563433,0.09375,-33.44783988,10
4,-118.1229,0.10000000000000002,34.0633,10
5,-122.438569,0.35,37.764425,10
6,-87.3745,0.4222222222222222,36.0715,10
7,5.14443315,-0.008333333333333333,52.08859253,10
8,-2.00647219,-0.125,52.71043698,10
9,39.6142,-0.09999999999999992,24.4686,10
10,-104.8223,0.12436868686868688,39.7071,10
11,101.6274941,0.5,3.18687438,10
12,-73.56725453,-0.5,45.75975883,10
13,77.219672,0.0,28.631747,10
14,78.4818,0.1,17.4763,10
15,-73.8669,0.16818181818181818,40.85,10
16,75.95156824,0.125,11.13967619,10
17,-117.54098715,0.25,33.86709675,10
18,5.14444285,0.04999999999999996,52.08859253,10
19,-73.97726,0.5,40.78169,10
20,-0.1094,0.26666666666666666,51.5141,10
21,172.66400832,0.0,-43.55655126,10
22,-118.1938,0.65,33.7692,10
23,-73.98959398,0.0,40.74109556,10
24,-121.89538633,0.75,36.59631567,10
25,-73.918069,0.11111111111111112,40.695277,10
26,7.52252485,0.5,9.09166751,10
27,76.576,0.4375,9.386,10
28,-111.819,0.4,40.3842,10
29,-1.4667,0.18333333333333326,53.3833,10
30,0.9008,0.8,51.8874,10
31,11.52819,0.003787878787878785,44.5421,10
32,-7.91885142,-0.06666666666666668,31.13570968,10
33,-3,0.0,40,10
34,-3.71056207,0.4,40.41170386,10
35,-2.10722716,0.0,57.12559149,10
36,-0.77617219,-0.125,53.39357076,10
37,-1.8581708,-0.03,53.8218739,10
38,148.58377924,-0.010000000000000007,-32.25933441,10
39,-0.15277778,0.0,50.82777778,10
40,153.43139766,0.0,-28.02759062,10
41,0.5498,0.3,51.3792,10
42,-118.31665255,0.3,34.09631669,10
43,103.9386631,0.0,1.3117405,10
44,21.008333,0.13636363636363635,52.232222,10
45,-4.309626,-0.6,55.852472,10
46,-73.47935661,0.16666666666666666,45.6677507,10
47,-79.35310661,0.0,43.66579404,10
48,101.7,-0.15000000000000002,3.15972222,10
49,-97.5195,0.0,35.4689,10
50,153.11191,0.18148148148148147,-27.24424,10
51,35.4993,0.2,33.8892,10
52,-73.56725453,0.0,45.75975883,10
53,25.32852121,0.375,37.44636873,10
54,-73.56725453,0.16666666666666666,45.75975883,10
55,-3.52298182,0.25,50.4822579,10
56,-157.80262,0.325,21.28486,10
57,-121.41351,0.09166666666666667,38.42386,10
58,-96.7302371,0.625,43.5473579,10
59,147.328429,0.1,-42.880195,10
60,-121.4947,0.0,38.577,10
61,145.11955619,0.25,-37.78841206,10
62,-73.56725453,0.2575757575757576,45.75975883,10
63,121.037,0.0,14.6439,10
64,-121.98252,0.0,37.57524,10
65,101.767,0.6,3.15,10
66,153.04293046,0.13968253968253969,-27.32005099,10
67,11.25,0.0,43.7833,10
68,74.797,-0.05,34.0839,10
69,23.6512,0.8,37.9493,10
70,77.6142258,0.0,13.1290872,10
71,-97.73549055,0.0,30.26585335,10
72,-117.124,0.3020833333333333,33.5033,10
73,72.85741,0.21931818181818186,19.15734,10
74,-95.34642,-0.0625,29.7007,10
75,-73.56725453,0.04545454545454545,45.75975883,10
76,73.2,0.10833333333333332,22.3,10
77,-85.77103615,0.08750000000000001,30.20147156,10
78,55.13975859,0.0,25.11197728,10
79,74.797,0.10833333333333334,34.0839,10
80,77.219672,0.5,28.631747,10
81,106.80743022,0.0,-6.25741874,10
82,-73.56725453,0.25,45.75975883,10
83,8.93843456,0.13636363636363635,42.63425167,10
84,98.1957,0.26666666666666666,14.097,10
85,-100.983,0.0,25.4333,10
86,27.8635755,0.3554450757575758,-32.9911514,10
87,121.06108,1.0,14.64052,10
88,-117.660706,0.5,33.876239,10
89,139.93140221,0.16325757575757574,-39.37179584,10
90,7.484637,-0.1140625,9.084169,10
91,106.86161288,1.0,-6.2948399,10
92,-71.2001,0.08380952380952382,42.5064,10
93,174.8433499,0.07142857142857142,-36.94462,10
94,-97.08268605,0.13333333333333333,32.75142349,10
95,-0.77616879,-0.125,53.39359214,10
96,2.76427566,-0.1,41.71008756,10
97,72.6167,-0.125,23.0333,10
98,-3.4664453,0.15833333333333333,50.7422779,10
99,-0.22049904,0.17761904761904762,51.78536485,10
100,151.44563433,0.08333333333333333,-33.44783988,10
101,112.7601422,0.13636363636363635,-7.30510975,10
102,-0.316667,0.05000000000000002,51.5,10
103,-1.57180318,-0.14090909090909093,53.80179671,10
104,107.5933813,0.8,-6.8605556,10
105,-3,0.3,40,10
106,33.4333,0.75,-10.3833,10
107,2.3215076,0.125,48.88635254,10
108,-2.55960611,0.26875,52.59540678,10
109,-3.20830719,0.2833333333333333,55.95822988,10
110,-84.3889,0.0,33.7566,10
111,85.30895558,0.0,27.70866027,10
112,77.2045876,0.0,28.56010567,10
113,101.61300583,0.1431818181818182,3.15725208,10
114,55.2741,0.1125,25.1994,10
115,-66.63911,0.0,45.96063,10
116,-80.192,0.3944444444444444,25.7752,10
117,150.78706,-0.06,-34.20191,10
118,78.001152,0.21428571428571427,27.1899509,10
119,2.36443351,0.0,48.87246869,10
120,-4.309626,-0.5,55.852472,10
121,-79.87055556,0.0,-2.14472222,10
122,103.856,0.0,1.29306,10
123,78.5393605,0.15625,17.3547447,10
