,coordinates,score
0,"-0.14367274,51.55141874",0.10833333333333334
1,"-0.13608912,51.50413561",0.2333333333333333
2,"-0.01704578,51.46287853",0.0
3,"-0.12450144,51.50013926",0.0
4,"-73.56725453,45.75975883",0.2
5,"-2.18091488,53.00778835",0.0
6,"-157.80702533,21.43133012",1.0
7,"-73.56725453,45.75975883",0.06666666666666668
8,"28.06045532,-26.21659308",0.0
9,"-73.56725453,45.75975883",-0.05
10,"146.8157,-19.2601",-0.5625
11,"77,21",0.16666666666666666
12,"-0.1094,51.5141",0.0
13,"4.63591226,52.38137625",0.0
14,"-0.1094,51.5141",-0.2
15,"-0.1094,51.5141",0.0
16,"-6.24327711,53.36001999",0.0
17,"-73.56725453,45.75975883",0.2272727272727273
18,"-0.60815087,51.71328854",0.5
19,"-4.629734,54.08989",0.2
20,"-122.483092,37.76893",0.1952380952380952
21,"-73.8309,40.7",0.13636363636363635
22,"-3.68333,40.4",0.0
23,"-0.60815087,51.71328854",0.5
24,"21.008333,52.232222",0.1409090909090909
25,"72.8764,19.0627",0.5
26,"55.2311766,25.04697944",0.1
27,"-73.56725453,45.75975883",0.3666666666666667
28,"145.04402,-37.88996",0.5
29,"101.72115592,3.12746503",0.0
30,"100.9309913,12.9366998",0.0
31,"-73.56725453,45.75975883",-0.1555555555555556
32,"7.0642,4.8164",0.22424242424242424
33,"-84.3889,33.7566",0.3029166666666667
34,"-77.0353,-12.0611",0.6
35,"-1.89943716,52.48416375",0.1
36,"4.63591226,52.38137625",0.0
37,"8,9",-0.075
38,"3.39583,6.45306",0.3665838068181818
39,"31.3,-29.3333",0.0
40,"88.61397,27.33153",-0.2
41,"-3.25641,51.52988",0.0
42,"40.01666667,-3.35",0.03333333333333333
43,"-5.9301,54.5971",0.0
44,"72.96865,19.17419",0.6166666666666667
45,"5.225023,7.62539133",0.0
46,"28.06045532,-26.21659308",0.10875
47,"72.8764,19.0627",0.29000000000000004
48,"-84.3889,33.7566",0.3029166666666667
49,"74.7726405,34.0783978",0.0
50,"-1.8582023,53.8218927",0.45
51,"-73.56725453,45.75975883",0.125
